"","Gene"
"1174","Tctex1d1"
"1175","Galm"
"1176","Pik3r5"
"1177","Lair1"
"1178","Gipr"
"1179","Cnksr3"
"1180","Stmn2"
"1181","Kif5c"
"1182","Thy1"
"1183","Gng2"
"1184","Elavl4"
"1185","Khdrbs3"
"1186","Arhgdig"
"1187","Clstn3"
"1188","Nmnat2"
"1189","AI413582"
"1190","Ly6e"
"1191","Gabrb2"
"1192","Chl1"
"1193","Elavl2"
"1194","Olfm2"
"1195","Bend6"
"1196","Adamts19"
"1197","Emp3"
"1198","G630016G05Rik"
"1199","Lgr5"
"1200","Matn2"
"1201","Bmp1"
"1202","Ncald"
"1203","Dlgap1"
"1204","Ogfrl1"
"1205","Ctnnd2"
"1206","Cadm1"
"1207","Omg"
"1208","Rbfox3"
"1209","Mef2c"
"1210","B230209E15Rik"
"1211","Slc12a5"
"1212","Ube2ql1"
"1213","Cntn1"
"1214","Trp73"
"1215","Lhx1os"
"1216","Lhx5"
"1217","Ebf3"
"1218","Nhlh2"
"1219","Cxcr4"
"1220","Cd274"
"1221","Rec114"
"1222","Dach1"
"1223","Igsf9"
"1224","Ankrd35"
"1225","Stmn1-rs1"
"1226","Fndc3b"
"1227","Fam196a"
"1228","Serpini1"
"1229","Rab3c"
"1230","Syt1"
"1231","Scg2"
"1232","Vstm2a"
"1233","Meg3"
"1234","Elmod1"
"1235","Atp1a3"
"1236","App"
"1237","Ralyl"
"1238","Resp18"
"1239","Stmn3"
"1240","Cplx1"
"1241","Prkar1b"
"1242","Map1b"
"1243","Chd3os"
"1244","Gng3"
"1245","Syp"
"1246","Bex2"
"1247","Asns"
"1248","Syngr3"
"1249","Tmem59l"
"1250","Uchl1"
"1251","Hpca"
"1252","Celf4"
"1253","Dnm1"
"1254","Stxbp1"
"1255","Pgrmc1"
"1256","Acot7"
"1257","Tmem130"
"1258","Sult4a1"
"1259","Tspyl4"
"1260","Tubb4a"
"1261","Apoe"
"1262","Slc1a3"
"1263","Atp1a2"
"1264","Mfge8"
"1265","Gpr37l1"
"1266","Gjb6"
"1267","S1pr1"
"1268","Gja1"
"1269","Gstm1"
"1270","Slco1c1"
"1271","F3"
"1272","Acsbg1"
"1273","Slc7a10"
"1274","S100a1"
"1275","S100a16"
"1276","Lcat"
"1277","Mertk"
"1278","Slc39a12"
"1279","Tlcd1"
"1280","Slc38a3"
"1281","Fgfr3"
"1282","Cmtm5"
"1283","Sox9"
"1284","Mlc1"
"1285","Sepp1"
"1286","Btbd17"
"1287","Hepacam"
"1288","Slc25a18"
"1289","Aqp4"
"1290","Timp4"
"1291","Fxyd1"
"1292","Tril"
"1293","Slc9a3r1"
"1294","Dbx2"
"1295","Plcd4"
"1296","Cbs"
"1297","Prodh"
"1298","Vcam1"
"1299","Ppp1r3c"
"1300","Slc15a2"
"1301","Cyp4f15"
"1302","Oaf"
"1303","Atp6v1g2"
"1304","Got1"
"1305","Napb"
"1306","Eno2"
"1307","Ckmt1"
"1308","Mllt11"
"1309","Prepl"
"1310","Gabrg2"
"1311","Syt4"
"1312","Chchd10"
"1313","Grin2b"
"1314","Nsg2"
"1315","Hprt"
"1316","Fabp3"
"1317","Sncb"
"1318","Nrsn1"
"1319","Ywhag"
"1320","Pacsin1"
"1321","Chgb"
"1322","Cend1"
"1323","Camk2b"
"1324","Tuba4a"
"1325","Rab6b"
